Time (s),Front (cm),Left (cm),Right (cm),Yaw (deg),State,SPEED_CRUISE,SPEED_TURN,SAFE_MARGIN,SOFT_MARGIN,MAX_CORRECTION,STOP_THRESHOLD,FRONT_TURN_TRIGGER,TURN_DECISION_THRESHOLD,TURN_TIMEOUT,TURN_LOCKOUT,POST_TURN_DURATION,MIN_TURN_ANGLE,MAX_TURN_ANGLE,N_READINGS,MAX_LAPS
28.87,121.22,128.06,0,-61.95,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
28.98,121.22,123.05,0,-61.98,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
29.08,121.22,80.73,0,-61.92,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
29.18,121.22,80.73,0,-61.93,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
29.29,121.22,80.35,0,-61.57,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
29.39,121.22,80.73,0,-61.78,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
29.51,121.22,80.73,0,-60.92,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
29.61,121.22,81.15,0,-60.04,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
29.72,121.22,80.35,0,-57.57,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
29.82,121.22,120.4,0,-56.88,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
29.93,121.22,106.52,0,-55.38,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
30.04,121.22,120.4,0,-54.28,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
30.16,121.22,106.52,0,-52.65,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
30.26,121.22,120.4,0,-50.83,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
30.37,121.22,106.52,0,-50.16,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
30.48,121.22,118.94,0,-48.25,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
30.6,121.22,118.94,0,-45.24,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
30.7,121.22,118.94,0,-46.3,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
30.83,121.22,122.78,0,-51.75,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
30.94,121.22,122.78,0,-56.59,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
31.05,121.22,122.78,0,-61.91,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
31.15,121.22,122.78,0,-66.6,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
31.26,121.22,98.5,0,-70.99,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
31.36,121.22,83.6,210.26,-75.78,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
31.46,121.22,80.6,208.26,-77.37,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
31.56,121.22,80.54,206.27,-78.1,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
31.65,121.22,80.54,205.38,-78.47,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
31.73,108.13,80.6,204.5,-78.6,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
31.8,15.58,82.06,204.5,-77.01,Driving (cruise),30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
31.88,13.85,82.06,204.5,-77.74,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
31.96,13.23,82.06,205.21,-78.29,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
32.04,12.27,77.52,205.21,-79.33,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
32.11,11.45,77.45,205.21,-80.3,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
32.19,11.45,77.45,204.73,-80.04,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
32.27,11.12,77.45,186.12,-80.33,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
32.34,11.12,82.25,186.12,-79.8,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
32.42,11.68,82.44,186.12,-79.68,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
32.49,11.68,82.6,203.98,-79.84,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
32.56,11.68,84.91,204.05,-79.26,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
32.64,11.68,84.91,204.65,-79.45,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
32.72,11.68,82.44,204.05,-78.7,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
32.8,11.54,82.21,204.65,-77.79,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
32.87,11.68,81.5,204.91,-77.23,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
32.95,12.52,81.36,204.91,-76.89,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
33.03,12.52,81.5,205.08,-76.54,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
33.12,12.52,81.5,205.55,-74.4,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
33.22,12.52,81.5,205.61,-71.6,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
33.31,12.52,81.36,206.14,-68.64,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
33.41,12.52,81.09,206.14,-65.18,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
33.5,12.52,81.09,206.14,-62.06,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
33.62,12.52,81.09,206.14,-59.53,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
33.72,12.52,81.09,206.14,-56.83,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
33.83,12.52,80.39,206.14,-53.14,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
33.93,12.52,80.39,206.14,-49.74,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
34.05,12.52,71.63,206.14,-49.1,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
34.15,12.52,71.63,206.14,-49.07,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
34.26,12.52,70.47,206.14,-48.6,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
34.36,12.52,70.47,206.14,-49.07,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
34.47,12.52,70.47,206.14,-48.66,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
34.58,12.52,119.7,206.14,-48.38,Stopped! Obstacle ahead,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
34.69,12.52,70.47,206.14,-48.68,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
34.78,12.52,69.53,206.14,-48.64,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
34.89,12.52,65.98,206.14,-48.53,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
34.99,12.52,65.98,206.14,-48.66,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
35.09,12.52,65.98,206.14,-48.56,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
35.19,12.52,66.35,206.14,-48.52,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
35.29,12.52,66.91,206.14,-48.18,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
35.39,12.52,67.25,206.14,-48.13,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
35.5,13.99,67.37,206.14,-48.24,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
35.58,13.99,67.37,206.14,-48.3,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
35.68,13.99,67.25,206.14,-48.16,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
35.79,13.99,66.33,206.14,-48.05,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
35.87,13.99,66.33,206.14,-48.14,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
35.98,13.99,66.33,206.14,-48.12,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
36.08,13.99,67.6,206.14,-48.1,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
36.18,131.53,67.6,206.14,-48.03,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
36.27,131.53,69.28,206.14,-47.93,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
36.37,131.78,67.6,206.14,-47.6,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
36.46,131.78,66.76,206.14,-47.73,Stopped,30,20,20,30,7,20,90,100,3.0,2.0,1.0,75,105,5,3
