Time (s),Front (cm),Left (cm),Right (cm),Yaw (deg),State,Turns,Laps,Servo Angle,Speed,Turning,Direction,SPEED_CRUISE,SPEED_TURN,TURN_ANGLE_LEFT,TURN_ANGLE_RIGHT,SOFT_MARGIN,MAX_CORRECTION,STOP_THRESHOLD,FRONT_TURN_TRIGGER,TURN_DECISION_THRESHOLD,TURN_TIMEOUT,MIN_TURN_ANGLE,MAX_TURN_ANGLE,POST_TURN_DURATION,TURN_LOCKOUT,N_READINGS,MAX_LAPS
8.83,93.64,77.38,114.4,3.88,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
8.89,94.27,77.38,112.66,3.84,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
8.95,94.69,77.38,110.52,3.32,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.02,94.88,77.15,155.14,3.01,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.07,95.08,76.47,155.14,2.72,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.12,95.1,76.47,155.79,3.05,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.2,95.08,77.04,156.44,3.77,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.26,94.89,77.71,156.44,3.64,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.32,94.64,77.71,157.07,3.46,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.37,94.57,78.17,155.85,3.59,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.42,94.16,77.37,155.85,3.91,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.48,94.57,76.55,158.09,3.93,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.54,94.16,76.55,134.59,3.76,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.59,94.16,75.93,159.11,3.66,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.65,94.16,75.93,150.02,3.66,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.73,94.16,75.9,110.55,3.48,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.79,93.92,75.87,111.03,3.58,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.85,93.35,76.51,110.17,3.98,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.9,93.6,76.12,111.03,4.16,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
9.96,93.6,76.38,113.99,4.36,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.02,93.6,76.38,113.99,4.1,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.08,93.2,75.75,113.99,4.0,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.13,92.48,75.96,110.58,3.97,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.2,92.48,76.54,110.56,4.23,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.27,92.25,76.54,110.56,4.32,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.33,91.75,76.73,110.58,4.4,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.4,91.66,75.74,112.35,4.3,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.47,91.66,75.71,112.35,4.22,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.54,91.66,75.75,110.46,4.19,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.58,91.55,76.12,110.46,4.16,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.66,91.13,76.09,111.6,4.19,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.72,90.83,76.04,109.93,4.23,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.78,90.77,75.65,114.62,4.35,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.83,90.08,75.64,112.91,4.4,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.88,89.97,75.67,111.19,4.41,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
10.95,89.59,75.98,112.1,4.43,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.02,89.29,75.97,111.19,4.49,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.06,88.97,76.34,109.99,4.65,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.11,88.42,76.01,109.99,4.59,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.18,88.31,76.01,109.99,4.38,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.25,88.05,76.4,107.66,4.16,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.29,87.4,75.95,103.53,4.02,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.34,87.09,75.95,107.67,4.06,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.39,87.09,75.49,107.92,4.17,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.46,86.75,75.29,112.31,4.13,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.53,86.66,75.29,112.31,3.73,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.57,86.27,75.08,111.99,3.38,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.63,86.27,75.19,109.35,3.32,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.7,86.27,75.33,109.35,3.35,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.79,85.67,75.31,140.62,3.55,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.84,84.96,75.33,140.87,3.62,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.88,84.65,75.33,140.87,3.5,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
11.95,84.31,75.34,114.68,3.42,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.02,84.09,75.34,113.39,3.36,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.07,83.38,75.27,114.04,3.65,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.13,82.88,75.44,113.39,3.96,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.19,82.72,75.07,113.39,4.17,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.25,82.88,75.9,113.88,4.15,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.37,82.59,75.92,112.77,4.43,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.42,82.81,76.63,113.68,4.4,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.47,82.19,127.68,113.72,4.26,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.53,80.79,77.38,113.48,3.66,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.61,80.83,77.38,113.96,3.16,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.66,80.26,76.38,113.96,3.06,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.7,80.4,76.08,110.77,2.88,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.75,80.54,75.61,111.44,2.82,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.82,80.07,75.2,111.44,2.67,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.88,80.04,75.2,113.6,2.49,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.93,79.64,75.2,113.6,2.51,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
12.98,79.53,74.99,115.08,2.67,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.06,79.37,75.06,105.37,3.05,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.15,78.38,75.45,104.53,3.29,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.2,77.72,76.25,104.53,3.02,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.25,77.72,77.42,99.21,2.98,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.32,77.72,77.42,106.14,3.06,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.38,76.77,76.32,98.05,3.06,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.43,75.93,75.11,99.47,2.85,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.47,75.8,75.11,99.72,2.83,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.56,75.8,75.11,97.08,3.58,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.63,75.42,74.9,97.27,3.59,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.68,75.1,74.68,97.08,3.71,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.73,74.96,74.47,97.18,3.84,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.8,74.96,74.66,97.09,4.11,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.85,74.52,74.67,96.86,3.94,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.9,73.87,74.69,96.86,3.95,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
13.95,73.51,74.69,96.86,3.93,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.0,73.51,74.7,96.81,3.97,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.09,73.5,74.89,101.21,4.09,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.14,73.48,75.47,104.69,4.25,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.19,73.48,75.87,101.21,4.33,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.25,72.86,75.47,100.81,4.3,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.33,72.2,75.21,99.77,4.25,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.37,72.03,74.65,99.14,4.28,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.44,71.68,74.46,99.14,4.33,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.49,71.24,74.39,95.57,4.46,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.56,71.04,74.38,95.57,4.4,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.61,71.04,74.38,95.49,4.31,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.66,71.23,74.76,99.17,4.35,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.73,71.19,75.15,102.78,4.44,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.81,74.81,75.15,98.44,4.24,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.85,74.64,75.12,98.44,4.21,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.9,70.72,75.09,98.44,4.19,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
14.97,70.06,74.81,96.89,4.39,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.03,69.38,74.81,98.98,4.25,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.08,69.35,74.83,98.98,4.17,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.13,69.08,74.97,98.05,4.37,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.19,69.3,75.0,96.79,4.69,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.26,69.32,75.42,92.91,4.85,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.3,69.12,75.46,92.85,4.71,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.35,69.11,75.08,92.85,4.59,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.41,69.11,75.74,93.22,4.27,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.48,68.8,75.43,94.1,3.62,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.53,68.67,75.06,97.29,3.28,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.57,68.44,75.69,94.75,2.97,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.65,67.91,75.69,103.68,3.08,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.72,67.75,75.41,104.59,3.73,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.77,67.75,75.79,104.59,3.92,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.81,67.61,75.38,98.63,4.08,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.86,67.12,75.38,93.1,4.14,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
15.93,66.73,75.38,92.68,4.04,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
16.01,66.73,75.6,92.68,4.13,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
16.05,66.64,75.37,92.07,4.14,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
16.1,66.47,75.32,92.07,4.2,Driving (cruise),0,0,0,20,NO,,20,15,60,120,30,8,20,80,30,3.5,75,105,0.5,1.5,4,0
